Genus,species,N,mass.g,se.mass.g,min.mass.g,max.mass.g,rmr.mean,se.rmr,min.rmr,max.rmr,amr.mean,se.amr,min.amr,max.amr,scope.raw,scope.massspecific,factorial.scope
Allobates,femoralis*,6,1.246,0.103,0.94,1.57,0.223,0.031,0.135,0.355,1.104,0.228,0.613,2.159,0.881,0.707,4.942
Allobates,insperatus*,4,0.551,0.041,0.43,0.605,0.082,0.018,0.056,0.133,0.609,0.03,0.535,0.678,0.527,0.956,7.459
Allobates,juanii,2,0.685,0.085,0.6,0.77,0.147,0.064,0.083,0.211,0.766,0.008,0.758,0.774,0.619,0.904,5.219
Allobates,kingsburyi,8,0.875,0.102,0.595,1.3,0.126,0.016,0.054,0.219,0.644,0.032,0.546,0.786,0.518,0.592,5.103
Allobates,algorei,6,0.585,0.013,0.54,0.62,0.168,0.019,0.1,0.217,0.593,0.071,0.366,0.805,0.425,0.726,3.52
Allobates,talamancae*,5,0.88,0.087,0.605,1.15,0.08,0.014,0.049,0.126,0.714,0.05,0.578,0.797,0.634,0.72,8.89
Allobates,zaparo*,10,1.615,0.133,1.01,2.51,0.299,0.029,0.163,0.458,1.919,0.108,1.381,2.535,1.62,1.003,6.422
Ameerega,bilinguis*,11,0.949,0.077,0.57,1.515,0.18,0.011,0.128,0.26,0.974,0.051,0.691,1.213,0.794,0.837,5.408
Ameerega,hahneli*,6,0.343,0.02,0.295,0.405,0.1,0.011,0.075,0.138,0.516,0.013,0.466,0.55,0.416,1.213,5.146
Ameerega,parvula*,8,1.569,0.049,1.365,1.79,0.293,0.033,0.137,0.412,1.497,0.17,0.719,2.35,1.204,0.767,5.111
Ameerega,trivittata*,3,5.512,0.994,4.515,7.5,0.964,0.178,0.785,1.32,6.632,0.924,5.523,8.468,5.668,1.028,6.879
Anomaloglossus,verbeeksnyderorum,11,0.808,0.051,0.61,1.14,0.202,0.022,0.094,0.372,0.73,0.068,0.456,1.119,0.528,0.653,3.607
Aromobates,aff. alboguttatus,17,1.312,0.114,0.56,2.33,0.248,0.022,0.129,0.466,0.916,0.093,0.327,1.823,0.668,0.509,3.701
Aromobates,saltuensis,6,1.498,0.138,1.19,1.97,0.212,0.046,0.099,0.415,1.249,0.202,0.597,2.015,1.037,0.692,5.903
Colostethus,fugax,4,0.959,0.089,0.72,1.1,0.124,0.013,0.093,0.147,0.667,0.054,0.525,0.783,0.543,0.566,5.374
Colostethus,panamansis*,5,0.973,0.093,0.693,1.167,0.096,0.004,0.088,0.109,1.159,0.085,0.971,1.412,1.063,1.092,12.122
Colostethus,pratti*,12,0.806,0.031,0.657,0.95,0.111,0.008,0.072,0.179,1.133,0.051,0.669,1.324,1.022,1.268,10.203
Dendrobates,auratus*,15,1.996,0.071,1.64,2.52,0.306,0.039,0.169,0.734,2.81,0.124,2.156,3.942,2.504,1.255,9.19
Dendrobates,bombetes,8,0.528,0.036,0.4,0.68,0.085,0.007,0.062,0.118,0.885,0.056,0.612,1.084,0.8,1.515,10.469
Dendrobates,captivus,6,0.484,0.025,0.405,0.565,0.087,0.014,0.061,0.154,0.602,0.039,0.487,0.719,0.515,1.064,6.952
Dendrobates,claudiae*,1,0.217,--,--,--,0.06,--,--,--,0.652,--,--,--,0.592,2.728,10.822
Dendrobates,duellmani,7,0.414,0.03,0.34,0.52,0.095,0.012,0.06,0.138,0.686,0.06,0.487,0.916,0.591,1.428,7.252
Dendrobates,galactonotus,4,3.589,0.293,3.035,4.095,0.323,0.009,0.307,0.348,4.97,0.225,4.534,5.581,4.647,1.295,15.379
Dendrobates,histrionicus*,4,3.32,0.119,3.14,3.67,0.205,0.021,0.167,0.257,2.496,0.301,1.788,3.105,2.291,0.69,12.156
Dendrobates,lamasi,2,0.39,0.07,0.32,0.46,0.068,0.015,0.054,0.083,1.074,0.062,1.011,1.136,1.006,2.579,15.683
Dendrobates,leucomelas,12,2.243,0.138,1.323,2.99,0.414,0.055,0.134,0.819,3.167,0.273,2,4.672,2.753,1.227,7.648
Dendrobates,pumilio*,17,0.538,0.017,0.407,0.67,0.067,0.003,0.049,0.093,0.698,0.026,0.508,0.924,0.631,1.173,10.452
Dendrobates,sp. Quibdo*,3,0.16,0.01,0.14,0.17,0.051,0.019,0.018,0.084,0.577,0.263,0.288,1.102,0.526,3.288,11.33
Dendrobates,sylvaticus,11,2.889,0.133,2.1,3.42,0.4,0.054,0.169,0.696,3.328,0.188,2.382,4.725,2.928,1.013,8.323
Dendrobates,tinctorius,8,5.037,0.358,4.11,6.31,0.549,0.051,0.402,0.832,5.983,0.767,2.788,9.798,5.434,1.079,10.889
Dendrobates,truncatus,12,1.573,0.115,1.08,2.17,0.188,0.016,0.119,0.283,1.926,0.111,1.353,2.581,1.738,1.105,10.263
Dendrobates,ventrimaculatus*,7,0.345,0.056,0.14,0.55,0.134,0.044,0.027,0.306,0.661,0.098,0.389,1.033,0.527,1.528,4.95
Dendrobates,virolinensis,8,0.475,0.051,0.33,0.73,0.094,0.006,0.067,0.12,0.639,0.03,0.556,0.818,0.545,1.147,6.8
Epipedobates,anthonyi*,10,1.062,0.052,0.75,1.41,0.197,0.009,0.159,0.255,1.207,0.036,1.025,1.409,1.01,0.951,6.13
Epipedobates,boulengeri*,16,0.427,0.018,0.31,0.54,0.097,0.012,0.046,0.193,0.329,0.023,0.163,0.512,0.232,0.543,3.381
Epipedobates,machalilla,11,0.323,0.022,0.23,0.475,0.083,0.009,0.047,0.144,0.385,0.049,0.159,0.704,0.302,0.935,4.657
Epipedobates,sp. F,10,0.457,0.026,0.32,0.55,0.065,0.005,0.043,0.094,0.596,0.036,0.436,0.765,0.531,1.162,9.135
Epipedobates,tricolor,4,0.801,0.051,0.69,0.895,0.164,0.022,0.114,0.211,0.836,0.089,0.621,1.055,0.672,0.839,5.097
Hyloxalus,awa,10,0.915,0.05,0.73,1.28,0.121,0.005,0.093,0.152,0.653,0.038,0.532,0.853,0.532,0.581,5.398
Hyloxalus,azureiventris,4,1.018,0.063,0.905,1.165,0.208,0.026,0.133,0.25,1.309,0.017,1.273,1.354,1.101,1.082,6.296
Hyloxalus,bocagei,11,1.514,0.141,0.83,2.28,0.288,0.029,0.182,0.497,2.307,0.22,1.154,3.524,2.019,1.334,8.016
Hyloxalus,elachyhistus,28,0.958,0.054,0.55,1.64,0.248,0.019,0.114,0.45,0.84,0.06,0.352,1.432,0.592,0.618,3.387
Hyloxalus,maculosus*,20,2.3,0.144,1,3.52,0.34,0.03,0.129,0.585,2.003,0.152,0.782,3.5,1.663,0.723,5.892
Hyloxalus,nexipus,3,1.066,0.181,0.705,1.263,0.264,0.092,0.124,0.438,1.236,0.084,1.147,1.403,0.972,0.912,4.684
Hyloxalus,sauli*,3,1.703,0.313,1.08,2.055,0.331,0.093,0.165,0.488,2.365,0.206,1.999,2.713,2.034,1.194,7.152
Hyloxalus,subpunctatus,7,0.799,0.07,0.637,1.18,0.151,0.013,0.109,0.203,0.901,0.059,0.774,1.241,0.75,0.939,5.975
Hyloxalus,toachi,5,0.68,0.082,0.52,0.97,0.117,0.017,0.07,0.168,0.872,0.074,0.611,1.028,0.755,1.11,7.481
Hyloxalus,vertebralis,8,0.698,0.051,0.515,0.96,0.127,0.021,0.063,0.236,0.567,0.052,0.34,0.719,0.44,0.63,4.452
Mannophryne,collaris,35,1.833,0.144,0.62,4.42,0.362,0.042,0.086,1.007,1.502,0.159,0.444,4.399,1.14,0.622,4.151
Phyllobates,aurotaenia,3,2.017,0.447,1.29,2.83,0.184,0.074,0.096,0.332,1.347,0.252,0.94,1.809,1.163,0.577,7.329
Phyllobates,terribilis,5,6.013,0.125,5.715,6.365,0.787,0.113,0.588,1.202,5.092,0.101,4.783,5.381,4.305,0.716,6.467
Rheobates,palmatus,15,1.78,0.181,0.85,2.905,0.368,0.037,0.22,0.767,1.563,0.154,0.9,2.734,1.195,0.671,4.252
Silverstoneia,flotator,10,0.327,0.013,0.273,0.393,0.054,0.005,0.036,0.079,0.491,0.027,0.378,0.687,0.437,1.336,9.026
Silverstoneia,nubicola*,7,0.371,0.032,0.27,0.47,0.043,0.003,0.031,0.055,0.636,0.048,0.422,0.77,0.593,1.598,14.885
